Name,Rarity,Slot,Outfit,Labels,Source
Nostalgic Blossom,3,Hair,,,A piece of journey anecdote.
Chiming Breeze,3,Hair,,,Resonance from the Distant Sea
An Easy Start,3,Hair,,,A classic clothing piece from Marques Boutique.
Sunset Dance,2,Hair,,,A classic clothing piece from Marques Boutique.
Silverplume,2,Hair,,,A classic clothing piece from Marques Boutique.
Autumn's Melody,3,Hair,,,A classic clothing piece from Marques Boutique.
Ten-Second Bun,2,Hair,,,A classic clothing piece from Marques Boutique.
Straight-A Student,2,Hair,,,A classic clothing piece from Marques Boutique.
Azure Sand,3,Hair,,,A classic clothing piece from Marques Boutique.
Five More Minutes,3,Hair,,Home,A classic clothing piece from Marques Boutique.
Mature Short Hair,4,Hair,,,An unexpected surprise from the Surprise-O-Matic.
Misty Clouds,3,Hair,,,An unexpected surprise from the Surprise-O-Matic.
Peachy Puffs,3,Hair,,,An unexpected surprise from the Surprise-O-Matic.
Mini Fishball,3,Hair,,,A reward from an adventure.
Playful Spades,3,Hair,,,Resonance from the Distant Sea
Sunrise Runner,3,Hair,,Summer,Resonance from the Distant Sea
Inky Braid,3,Hair,,,Resonance from the Distant Sea
Corridor of Time,3,Hair,A Beautiful Day,,Proof of styling prowess.
Pink Star Wish,3,Hair,Searching for Dreams,,Proof of styling prowess.
Fluttermist Isle,5,Hair,Flutter Storm,,Resonance from the Distant Sea
Blooming Pact,5,Hair,Blossoming Stars,,Resonance from the Distant Sea
Morning Sunlight,5,Hair,Fairytale Swan,Formal,Resonance from the Distant Sea
Distant Memory,4,Hair,Floral Memory,,Insights of the Heart of Infinity.
Windswept Wheat,4,Hair,Hometown Breeze,,A gift from the Cadenceborn to those who offer the Dew of Inspiration.
Tomorrow's Vows,4,Hair,Rebirth Wish,,A gift from the Cadenceborn to those who offer the Dew of Inspiration.
Painting Blossoms,4,Hair,Flowing Colors,,Resonance from the Distant Sea
Dancing Waves,4,Hair,,,Resonance from the Distant Sea
Mellifluous Melody,4,Hair,Sweet Jazz Nights,,Resonance from the Distant Sea
Troubleshooter,4,Hair,Fully Charged,,Insights of the Heart of Infinity.
Rippling Waves,4,Hair,Rippling Serenity,,Insights of the Heart of Infinity.
Clear Vision,4,Hair,Afternoon Shine,,Insights of the Heart of Infinity.
Friendly Impression,4,Hair,Unknown Outfit,,Insights of the Heart of Infinity.
Spring Whispers,4,Hair,Unknown Outfit,,Insights of the Heart of Infinity.
Air Bubbles,4,Hair,Bubbly Voyage,Summer,Insights of the Heart of Infinity.
Born Pink,3,Hair,,,One of the initial items acquired upon arrival in Miraland.
Pink 'n' Curly,3,Hair,,,One of the initial items acquired upon arrival in Miraland.
Vibrant Spirit,3,Hair,Guard's Resolve,,A reward from an adventure.
Vibrant Life,4,Hair,Rebirth Wish: Blooming,,A recolor of Tomorrow's Vows from Rebirth Wish.
Silvernight Whispers,4,Hair,Hometown Breeze: Hopeful,,A recolor of Windswept Wheat from Hometown Breeze.
Cat Paw,4,Hair,Bye-Bye Dust: Kitty,,A recolor of Friendly Impression from Unknown Outfit.
Entrance Invitation,4,Hair,Rippling Serenity: Dream,,A recolor of Rippling Waves from Rippling Serenity.
Glittering Night,4,Hair,Sweet Jazz Nights: Waltz,,A recolor of Mellifluous Melody from Sweet Jazz Nights.
Colorful Gradient,4,Hair,Fully Charged: Refreshing,,A recolor of Troubleshooter from Fully Charged.
Distant Aroma,4,Hair,Floral Memory: Gleam,,A recolor of Distant Memory from Floral Memory.
Fresh Breeze,4,Hair,Bubbly Voyage: Spring,Summer,A recolor of Air Bubbles from Bubbly Voyage.
Evening Banquet,5,Hair,Blossoming Stars: Dreamfall,,A recolor of Blooming Pact from Blossoming Stars.
Silver Shimmer,5,Hair,Blossoming Stars: Starlight,,A recolor of Blooming Pact from Blossoming Stars.
Firefly Brilliance,5,Hair,Blossoming Stars: Radiance,,A recolor of Blooming Pact from Blossoming Stars.
Cursed Storm,5,Hair,Flutter Storm: Flame Song,,A recolor of Fluttermist Isle from Flutter Storm.
Etched by the Wind,5,Hair,Flutter Storm: Forest Song,,A recolor of Fluttermist Isle from Flutter Storm.
Windborne Realm,5,Hair,Flutter Storm: Dream Chant,,A recolor of Fluttermist Isle from Flutter Storm.
Solo of the Stars,4,Hair,Flowing Colors: Dreamy,,A recolor of Painting Blossoms from Flowing Colors.
Moonlit Chords,5,Hair,Fairytale Swan: Dream,Formal,A recolor of Morning Sunlight from Fairytale Swan.
Flame's Embers,5,Hair,Fairytale Swan: Mystfire,Formal,A recolor of Morning Sunlight from Fairytale Swan.
Moonlit Glide,5,Hair,Fairytale Swan: Truth,Formal,A recolor of Morning Sunlight from Fairytale Swan.
